Data,NC,NN,MC,MN,V,D1C,D1N,D2C,D2N,D3C,D3N,D4C,D4N
0,Nível Territorial (Código),Nível Territorial,Unidade de Medida (Código),Unidade de Medida,Valor,Brasil (Código),Brasil,Mês (Código),Mês,Variável (Código),Variável,Seções e atividades industriais (CNAE 2.0) (Código),Seções e atividades industriais (CNAE 2.0)
1,1,Brasil,30,Número-índice,85.14812,1,Brasil,200201,janeiro 2002,12606,PIMPF - Número-índice (2022=100),129316,3 Indústrias de transformação
2,1,Brasil,30,Número-índice,82.08498,1,Brasil,200202,fevereiro 2002,12606,PIMPF - Número-índice (2022=100),129316,3 Indústrias de transformação
3,1,Brasil,30,Número-índice,90.96360,1,Brasil,200203,março 2002,12606,PIMPF - Número-índice (2022=100),129316,3 Indústrias de transformação
4,1,Brasil,30,Número-índice,93.77772,1,Brasil,200204,abril 2002,12606,PIMPF - Número-índice (2022=100),129316,3 Indústrias de transformação
5,1,Brasil,30,Número-índice,94.70631,1,Brasil,200205,maio 2002,12606,PIMPF - Número-índice (2022=100),129316,3 Indústrias de transformação
6,1,Brasil,30,Número-índice,91.07112,1,Brasil,200206,junho 2002,12606,PIMPF - Número-índice (2022=100),129316,3 Indústrias de transformação
7,1,Brasil,30,Número-índice,98.03895,1,Brasil,200207,julho 2002,12606,PIMPF - Número-índice (2022=100),129316,3 Indústrias de transformação
8,1,Brasil,30,Número-índice,98.40978,1,Brasil,200208,agosto 2002,12606,PIMPF - Número-índice (2022=100),129316,3 Indústrias de transformação
9,1,Brasil,30,Número-índice,96.85399,1,Brasil,200209,setembro 2002,12606,PIMPF - Número-índice (2022=100),129316,3 Indústrias de transformação
10,1,Brasil,30,Número-índice,105.35167,1,Brasil,200210,outubro 2002,12606,PIMPF - Número-índice (2022=100),129316,3 Indústrias de transformação
11,1,Brasil,30,Número-índice,99.06174,1,Brasil,200211,novembro 2002,12606,PIMPF - Número-índice (2022=100),129316,3 Indústrias de transformação
12,1,Brasil,30,Número-índice,87.78926,1,Brasil,200212,dezembro 2002,12606,PIMPF - Número-índice (2022=100),129316,3 Indústrias de transformação
13,1,Brasil,30,Número-índice,86.66795,1,Brasil,200301,janeiro 2003,12606,PIMPF - Número-índice (2022=100),129316,3 Indústrias de transformação
14,1,Brasil,30,Número-índice,84.31084,1,Brasil,200302,fevereiro 2003,12606,PIMPF - Número-índice (2022=100),129316,3 Indústrias de transformação
15,1,Brasil,30,Número-índice,90.68017,1,Brasil,200303,março 2003,12606,PIMPF - Número-índice (2022=100),129316,3 Indústrias de transformação
16,1,Brasil,30,Número-índice,89.78428,1,Brasil,200304,abril 2003,12606,PIMPF - Número-índice (2022=100),129316,3 Indústrias de transformação
17,1,Brasil,30,Número-índice,93.40012,1,Brasil,200305,maio 2003,12606,PIMPF - Número-índice (2022=100),129316,3 Indústrias de transformação
18,1,Brasil,30,Número-índice,89.70153,1,Brasil,200306,junho 2003,12606,PIMPF - Número-índice (2022=100),129316,3 Indústrias de transformação
19,1,Brasil,30,Número-índice,95.64875,1,Brasil,200307,julho 2003,12606,PIMPF - Número-índice (2022=100),129316,3 Indústrias de transformação
20,1,Brasil,30,Número-índice,95.81040,1,Brasil,200308,agosto 2003,12606,PIMPF - Número-índice (2022=100),129316,3 Indústrias de transformação
